,slug,company_name,title,description,remote,url,tags,job_types,location,created_at
0,senior-sales-manager-asset-tokenization-contract-temp-to-perm-falkensee-467,Kooku Recruiting Partners Berlin,"Senior Sales Manager - Asset Tokenization - (contract, temp-to-perm)","<p><strong>Company Overview:</strong></p>
<p>We are a pioneering force in the asset tokenization sector, leveraging blockchain technology to transform how real-world assets are managed and invested. Our mission is to create a secure, efficient, and transparent ecosystem for asset tokenization, offering additional yield-earning opportunities for investors.</p>
<p><strong>Role Overview:</strong></p>
<p>We are seeking a dynamic and strategic Senior Sales Manager to join our team. Operating from one of the following locations: the UK, EU or UAE (Abu Dhabi/Dubai), you will be responsible for identifying new business opportunities, fostering strategic partnerships, and expanding our presence in the blockchain asset tokenization market. The position is a freelance / contract role with the opportunity to transition into a permanent position.</p>
<h2>Tasks</h2>
<ul>
<li>Conduct market research to identify emerging trends, opportunities, and challenges in the blockchain and asset tokenization sector.</li>
<li>Develop and implement a comprehensive sales strategy to attract partners, clients, and investors.</li>
<li>Cultivate and maintain strong relationships with key stakeholders in the blockchain, finance, and technology industries.</li>
<li>Collaborate with the product development team to ensure our solutions align with market needs and customer expectations.</li>
<li>Lead negotiations and close deals with clients, partners, and investors.</li>
<li>Represent the company at industry events, conferences, and networking gatherings to promote our services and establish new connections.</li>
<li>Work closely with the marketing team to develop effective promotional materials and campaigns.</li>
<li>Monitor and analyze the performance of business development initiatives, adjusting strategies as needed to achieve goals.</li>
</ul>
<h2>Requirements</h2>
<ul>
<li>Bachelor's degree in Business, Finance, Technology, or a related field (Master's degree preferred).</li>
<li>3-5 years of experience in business development, preferably in the blockchain, fintech, or TradFi sector.</li>
<li>Excellent communication, negotiation, and interpersonal skills.</li>
<li>Proven ability to develop and maintain relationships with key stakeholders, clients, and partners.</li>
<li>Strategic thinker with a knack for identifying opportunities and solving problems.</li>
<li>Self-motivated with the ability to work independently and collaboratively.</li>
<li>Willingness to travel as needed for client meetings, conferences, and events.</li>
</ul>
<h2>Benefits</h2>
<p><strong>What We Offer:</strong></p>
<ul>
<li>A dynamic and innovative work environment where you can make a significant impact.</li>
<li>The opportunity to be at the forefront of the blockchain and asset tokenization revolution.</li>
<li>Competitive salary and benefits package, including equity and token options.</li>
<li>Professional development opportunities to enhance your skills and advance your career.</li>
<li>A supportive and collaborative team culture committed to diversity and inclusion.</li>
</ul>
<p>Join us and play a pivotal role in shaping the future of asset management through blockchain technology. We look forward to welcoming passionate and talented individuals to our team!</p>
<p>Find <a href=""https://www.arbeitnow.com/"">Jobs in Germany</a> on Arbeitnow</a>",True,https://www.arbeitnow.com/jobs/companies/kooku-recruiting-partners-berlin/senior-sales-manager-asset-tokenization-contract-temp-to-perm-falkensee-467,"['Remote', 'Finance']",,Falkensee,2024-04-30 07:49:03
1,controllerin-luneburg-268401,Vonmählen GmbH,Controller:in,"<p><strong>Deine Rolle</strong></p>
<p>Als Controller spielst du eine entscheidende Rolle in der Steuerung unseres Unternehmens. Du bist zentraler Ansprechpartner für die Budgetierung und das Reporting, sicherst die Qualität von Daten und optimierst kontinuierlich die unternehmensinternen Prozesse. Du analysierst KPIs und leitest daraus strategische Handlungsempfehlungen für die Geschäftsführung ab. Deine Expertise trägt maßgeblich zur Effizienzsteigerung und zur Unterstützung strategischer Unternehmensentscheidungen bei.</p>
<h2>Aufgaben</h2>
<ul>
<li>Unterstützung bei der Erstellung von Budgetplänen, Forecasts sowie Monats- und Jahresabschlüssen </li>
<li>Mitwirkung bei der Erstellung von Reportings, Soll-Ist-Vergleichen und Ad-hoc-Auswertungen für die Geschäftsführung </li>
<li>Aufbereitung, Betreuung und kontinuierliche Verbesserung von operativen KPIs sowie Ableitung von Handlungsmaßnahmen </li>
<li>Key User für die Erstellung von Produkt- und Projektkalkulationen und Kostenstellenrechnung </li>
<li>Prüfung von Datensträngen und Sicherung der Qualität innerhalb der Wertschöpfungskette und des ERP</li>
</ul>
<h2>Qualifikation</h2>
<ul>
<li>Im Vordergrund stehen bei uns Persönlichkeit, Ambitionen und Eigeninitiative</li>
<li>Du verfügst über kaufmännischen Sachverstand durch ein<br>
abgeschlossenes Studium mit betriebswirtschaftlicher Ausrichtung oder<br>
eine kaufmännische Ausbildung</li>
<li>Du arbeitest sicher mit MS Office-Anwendungen, insbesondere mit Excel</li>
<li>Du verfügst über ein sehr gutes Zahlenverständnis und eine analytische Denkweise</li>
<li>Du kommunizierst sicher in deutscher und englischer Sprache, mündlich wie schriftlich</li>
<li>Dich zeichnet eine selbstständige und strukturierte Arbeitsweise aus</li>
<li>Du bist motiviert und zielorientiert</li>
</ul>
<h2>Benefits</h2>
<ul>
<li>Inspirierendes, familiäres Arbeitsumfeld und unkompliziertes Miteinander</li>
<li>Flexible Arbeitsgestaltungs- und individuelle Entwicklungsmöglichkeiten</li>
<li>Verantwortung ab dem ersten Tag verbunden mit spannenden Aufgaben</li>
<li>Helle, moderne Büroräume in der City mit einer guten Verkehrsanbindung</li>
<li>Gleitzeit und Home Office Möglichkeiten</li>
<li>SpenditCard, Corporate Benefits, Mitarbeiterrabatte für Vonmählen-Produkte</li>
<li>JobRad und Fitnessstudio-Kooperation </li>
<li>Betriebliche Altersvorsorge </li>
<li>Firmenevents  </li>
<li>Office Dogs</li>
</ul>
<p>Chancengleichheit, Vielfalt und eine respektvolle Zusammenarbeit sind bei Vonmählen fest verankerte Grundsätze. Deshalb legen wir im Rekrutierungsprozess Wert auf deine Person und nicht auf dein Geschlecht, Ethnie oder Nationalität. Wir unterbinden Diskriminierung und Belästigung jeglicher Art aufgrund von Geschlecht, Hautfarbe,<br>
Religion, sexueller Orientierung, Herkunft, Behinderung, geschlechtlicher Identität oder anderen geschützten Merkmalen. </p>
<p>Werde jetzt Teil unseres Vonmählen-Teams und bewirb Dich!</p>
<p>Find more <a href=""https://www.arbeitnow.com/english-speaking-jobs"">English Speaking Jobs in Germany</a> on Arbeitnow</a>",False,https://www.arbeitnow.com/jobs/companies/vonmahlen-gmbh/controllerin-luneburg-268401,['Controlling'],berufserfahren,Lüneburg,2024-04-30 07:49:03
2,kundenbetreuerin-wesseling-74183,Taynie,Kundenbetreuer*in,"<p>Wir suchen ab sofort eine(n) motivierte(n) Kundenbetreuer*in (w/m/d), die/der unseren Kund*innen in allen Belangen zur Seite steht.<br>
Taynie ist ein junges Start-Up aus Wesseling bei Köln, das seit 2015<br>
nachhaltige Periodenunterwäsche aus hochwertigen Rohstoffen, produziert.<br>
Unsere Unterwäsche ist vegan, kommt ganz ohne chemische Zusätze aus und<br>
erstreckt sich in einer Kollektion von über 30 Modellen.<br>
Mit Taynie bieten wir nicht nur eine nachhaltige Alternative zu Binden und<br>
Tampons an, sondern wollen zudem, dass das Thema ‚Menstruation und Zyklus‘ in<br>
unserer Gesellschaft mehr an Aufmerksamkeit gewinnt.</p>
<h2>Aufgaben</h2>
<ul>
<li>Bearbeitung der Anfragen unserer Kund*innen per Mail und Chat </li>
<li>Du übernimmst eine individuelle Problemlösung für jeden unserer Kund*innen  </li>
<li>Sicherstellung einer hohen Servicequalität </li>
<li>Du arbeitest eng mit dem Versandteam zusammen und wirkst aktiv bei der<br>
Prozessoptimierung mit</li>
</ul>
<h2>Qualifikation</h2>
<ul>
<li>Eine erfolgreich abgeschlossene Ausbildung </li>
<li>Erste Erfahrung im Bereich Kundenservice </li>
<li>Sehr gute Deutschkenntnisse in Wort und Schrift </li>
<li>Du bist empathisch und arbeitest sehr kundenorientiert  </li>
<li>In stressigen Situationen lässt du dich nicht aus der Ruhe bringen und behältst<br>
weiterhin den Überblick </li>
<li>Der Umgang mit dem PC bereitet dir keine Probleme und du kennst dich mit den<br>
gängigen Office-Produkten aus</li>
</ul>
<h2>Benefits</h2>
<ul>
<li>Ein wachsendes Unternehmen mit flachen Hierarchien und viel Gestaltungsspielraum  </li>
<li>Wir leben ein offenes und ehrliches Miteinander, zudem wird Teamwork bei uns<br>
großgeschrieben  </li>
<li>Ein gemeinsames Mittagessen, natürlich auch vegan </li>
<li>Gratis Kaffee, Wasser, Obst und kleinere Snacks </li>
<li>Du solltest tierlieb sein, wir haben einen sehr liebenswerten Bürohund</li>
</ul>
<p>Wir haben dein Interesse geweckt?<br>
Dann bewirb dich jetzt mit einem aussagekräftigen Anschreiben, einem Foto und einem Lebenslauf von dir.</p>
<p>Find <a href=""https://www.arbeitnow.com/"">Jobs in Germany</a> on Arbeitnow</a>",False,https://www.arbeitnow.com/jobs/companies/taynie/kundenbetreuerin-wesseling-74183,['Customer Service'],,Wesseling,2024-04-30 07:49:03
3,senior-full-stack-engineer-developer-remote-germany-based-hamburg-299715,Locoia GmbH,Senior Full Stack Engineer / Developer (f/m/d)/ remote (Germany based),"<p>We are seeking an experienced Full Stack Developer to take on challenges across both backend and frontend domains. As a key member of our team, you will have the opportunity to maintain and enhance our applications, ensuring high performance, reliability, and engaging user experiences.  </p>
<p><strong>Locoia</strong> stands for low-code-intelligent-automation. As a DeepTech SaaS/iPaaS startup we offer smart analytics and low-code automation software.</p>
<h2>Tasks</h2>
<ul>
<li>Maintain the existing codebase, troubleshoot issues, and implement new features across both frontend and backend.</li>
<li>Directly report to the Head of Engineering and play a critical role in various phases of the software development lifecycle.</li>
<li>Design and participate in the implementation of change requests, and review merge requests from your teammates.</li>
<li>Contribute to UI/UX improvements and design changes to enhance user interaction.</li>
<li>Provide technical expertise to improve the project from various angles, including recommendations on cloud architecture and infrastructure optimizations.</li>
<li>Play an important role in automated testing, ensuring changes are delivered with high quality and stability.</li>
<li>Improve existing and write new internal documentation, focusing on technical and architectural details.</li>
<li>Tune production configurations for performance, cost, and scalability.</li>
</ul>
<h2>Requirements</h2>
<ul>
<li>7+ years of experience in developing various software products, mainly web-focused.</li>
<li>Proven expertise with our backend tech stack: Python, Flask, SQLAlchemy, PostgreSQL, AWS, Docker, Kubernetes.</li>
<li>Strong proficiency with our frontend tech stack: JavaScript, Vue 3, Element-UI.</li>
<li>Comfortable working with common AWS services and supporting production environments, including monitoring and alerting.</li>
<li>Knowledge of development processes and task tracking tools (e.g., Jira, Trello, GitLab issues).</li>
<li>Experience with performance optimizations and debugging.</li>
<li>Excellent communication skills in English, with the ability to clearly express and communicate thoughts, ideas, suggestions, and designs both verbally and in writing.</li>
<li>Ability to reproduce, debug, and fix reported problems in a timely manner.</li>
</ul>
<p>Find <a href=""https://www.arbeitnow.com/"">Jobs in Germany</a> on Arbeitnow</a>",True,https://www.arbeitnow.com/jobs/companies/locoia-gmbh/senior-full-stack-engineer-developer-remote-germany-based-hamburg-299715,"['Remote', 'Software Development']",professional / experienced,Hamburg,2024-04-30 06:49:03
4,mitarbeiter-rechnungserfassung-magdeburg-179683,Workstation Customer Care,Mitarbeiter Rechnungserfassung (m/w/d),"<p>Im Auftrag unseres Kunden suchen wir eine Bürokraft (m/w/d) für die Dateneingabe und Rechnungserfassung.</p>
<p>Ihre Aufgaben:</p>
<ul>
<li>Rechnungserfassung</li>
<li>Ablage und Archivierung von Belegen</li>
<li>Pflege von Excel-Tabellen</li>
<li>Bearbeitung von Lieferanten-Mahnungen</li>
<li>Allgemeine Korrespondenz</li>
</ul>
<p>Unsere Anforderungen:</p>
<ul>
<li>Eine abgeschlossene kaufmännische Ausbildung wünschenswert</li>
<li>Erste Berufserfahrung in der kaufmännischen Sachbearbeitung von Vorteil</li>
<li>Eine genaue und exakte Arbeitsweise</li>
<li>Gute PC Kenntnisse</li>
</ul>
<p>Wir bieten:</p>
<ul>
<li>Eine perspektivische Anstellung in Vollzeit</li>
<li>Attraktive Arbeitszeiten</li>
<li>Einen zentral gelegenen und modern eingerichteten Arbeitsplatz</li>
</ul>
<p>Wir freuen uns Sie kennenzulernen!  </p>
<p>Find <a href=""https://www.arbeitnow.com/"">Jobs in Germany</a> on Arbeitnow</a>",False,https://www.arbeitnow.com/jobs/companies/workstation-customer-care/mitarbeiter-rechnungserfassung-magdeburg-179683,['Finance'],,Magdeburg,2024-04-30 06:49:03
5,abrechnungsservice-fur-medizinische-leistungen-berlin-176931,Workstation Customer Care,Abrechnungsservice für medizinische Leistungen,"<p>Für unseren Auftraggeber suchen wir tatkräftige Unterstützung im Team Abrechnungsservice. Das Unternehmen erstellt die Rechnungen für verschiedene medizinische Dienstleistungen, wie Untersuchungen, Operationen oder auch Laborarbeiten - um nur einige zu nennen. Weiterhin übernimmt das Unternehmen die korrekte Zuordnung der Zahlungseingänge. </p>
<p>Hier beginnt Ihr (m/w/d) Verantwortungsbereich:</p>
<ul>
<li>Bearbeitung von Zahlungseingängen, Ratenzahlungen und sonstige Zahlungsvereinbarungen</li>
<li>Zahlungsprüfung und Unterstützung bei der Anpassung von Vertragskonditionen</li>
<li>Dokumentation der einzelnen Kundenvorgänge sowie Stammdatenpflege</li>
<li>Zusammenarbeit mit anderen Fachabteilungen</li>
</ul>
<p>Bringen Sie mit, was es braucht:</p>
<ul>
<li>Kaufmännische Ausbildung oder erste Berufserfahrung</li>
<li>Prozessorientiertes Denken und ausgeprägtes Zahlenverständnis</li>
<li>Sie kommunizieren strukturiert und lösungsorientiert</li>
<li>Sie haben Spaß an eigenverantwortlicher Tätigkeit</li>
</ul>
<p>Diese Tätigkeit kann zu 80% vom Homeoffice aus erfolgen - an einem Tag in der Woche trifft sich das Team in den Büroräumen in Berlin</p>
<p>Wir freuen uns Sie kennenzulernen!  </p>
<p>Find <a href=""https://www.arbeitnow.com/"">Jobs in Germany</a> on Arbeitnow</a>",False,https://www.arbeitnow.com/jobs/companies/workstation-customer-care/abrechnungsservice-fur-medizinische-leistungen-berlin-176931,['Finance'],,Berlin,2024-04-30 06:49:03
6,geschaftskundenbetreuung-elektronische-zahlungssysteme-berlin-166072,Workstation Customer Care,Geschäftskundenbetreuung elektronische Zahlungssysteme,"<p>Unser Kunde ist ein führender Anbieter von e-payment solutions und verwandten Anwendungen, die vorrangig von kleineren Einzelhandelsgeschäften und Webshopanbietern genutzt werden. Das besondere an unserem Kunden ist, dass er sich als Berater für seine Geschäftspartner versteht und so langfristige Geschäftsbeziehungen sicher stellt. Der Schwerpunkt der Betreuung liegt bei Anfragen zu EC- und Kreditkarten, es werden aber auch Anfragen zu Geschenkgutscheinen und Bonuskarten beantwortet. Zur Verstärkung des bestehenden Teams suchen wir Sie als Kundenbetreuer (m/w/d).</p>
<p>So dürfen Sie sich Ihre Aufgaben vorstellen:</p>
<ul>
<li>Hilfestellung bei Problemen mit der elektronischen Bezahlung</li>
<li>Klärung von Differenzen zu Rechnungen und Mahnungen</li>
<li>Freischaltung von Geräten und Software</li>
</ul>
<p>Mit diesen Eigenschaften überzeugen Sie uns:</p>
<ul>
<li>Berufserfahrung in kaufmännischen Bereichen</li>
<li>gutes schriftliches und mündliches Ausdrucksvermögen</li>
<li>gute PC-Kenntnisse</li>
<li>serviceorientiertes Auftreten</li>
<li>Verantwortungsbewusstsein und Engagement</li>
<li>strukturierte und zielorientierte Arbeitsweise</li>
</ul>
<p>Wir freuen uns Sie kennenzulernen!  </p>
<p>Find more <a href=""https://www.arbeitnow.com/english-speaking-jobs"">English Speaking Jobs in Germany</a> on Arbeitnow</a>",False,https://www.arbeitnow.com/jobs/companies/workstation-customer-care/geschaftskundenbetreuung-elektronische-zahlungssysteme-berlin-166072,['Customer Service'],,Berlin,2024-04-30 06:49:03
7,it-systemadministrator-gesucht-berlin-418054,Workstation Customer Care,IT- Systemadministrator (m/w/d) gesucht,"<p>Unser Kunde ist ein internationaler Dienstleister im Bereich Business Process Outsourcing. Für die Zentrale in Berlin suchen wir einen IT- Systemadministrator (m/w/d).</p>
<p>Ihre Aufgaben:</p>
<ul>
<li>Betrieb, Planung, Installation, Konfiguration und Weiterentwicklung von Virtualisierungsinfrastrukturen</li>
<li>Entwicklung und weltweite Implementierung von IT-Projekten in den o.g. Bereichen</li>
<li>Koordination der IT-Projekte zwischen Fachabteilungen und externen Dienstleistern</li>
<li>Evaluierung von neuen Lösungen und Mitgestaltung der IT-Systeme</li>
<li>Weiterentwicklung und Dokumentation von Prozessen des Infrastrukturbetriebs</li>
</ul>
<p>Ihr Profil:</p>
<ul>
<li>Abgeschlossene IT-Ausbildung mit Berufserfahrung oder Studium der Informatik</li>
<li>Sehr gute Kenntnisse in den Bereichen Backup (Veeam) VDI Citrix XenDesktop, XenApp, XenServer und VMware ESX</li>
<li>Sehr gute Kenntnisse im Bereich Infrastrukturen Storage Netapp, HP Blade Server Infrastrukturen, Cisco Nexus Netzwerk Komponenten</li>
<li>Erfahrungen im Bereich System Monitoring, Microsoft Server, Lunix/UNIX</li>
<li>Gute Kenntnisse in Netzwerkarchitekturen (TCP/IP, WLAN, VPN) und Sicherheitslösungen</li>
<li>Gute Deutsch- und Englischkenntnisse</li>
<li>Begeisterungsfähigkeit für neue Herausforderungen im Bereich IT-Netzwerk und Systemadministration</li>
</ul>
<p>Wir freuen uns Sie kennenzulernen!  </p>
<p>Find more <a href=""https://www.arbeitnow.com/english-speaking-jobs"">English Speaking Jobs in Germany</a> on Arbeitnow</a>",False,https://www.arbeitnow.com/jobs/companies/workstation-customer-care/it-systemadministrator-gesucht-berlin-418054,['IT'],,Berlin,2024-04-30 06:49:03
8,abrechnungsservice-gasversorger-homeoffice-potsdam-274452,Workstation Customer Care,Abrechnungsservice Gasversorger Homeoffice,"<p>Unser Auftraggeber ist der Vertragspartner eines renommierten Gasversorgers. Wir suchen talentierte Persönlichkeiten (m/w/d) zum Aufbau eines neuen Teams.</p>
<p>Ihre Aufgaben:</p>
<ul>
<li>Aufnahme von Kundenanliegen und Dokumentation aller Anfragen im System</li>
<li>Schriftliche Erklärungen zu Jahresendrechnungen, Abschlagszahlungen und Stundungsanträgen</li>
<li>Umzugsservice für Neu- und Bestandskunden</li>
<li>Auskunftserteilung zu Konditionen, Bereitstellungszeitpunkt und Vertragsmodalitäten</li>
<li>Erfassen und Pflegen von Kunden-, Stamm- und Bewegungsdaten</li>
<li>Sicherstellung der Kundenzufriedenheit</li>
</ul>
<p>Was Sie mitbringen sollten:</p>
<ul>
<li>Kaufmännisches Wissen und Können, Quereinsteiger sind herzlich willkommen</li>
<li>Kenntnisse der gängigen MS-Office-Programme</li>
<li>Affinität zur und Freude an der Arbeit am PC</li>
<li>Ausgeprägte Kommunikationsfähigkeit</li>
<li>Selbständige Arbeitsweise und Genauigkeit</li>
<li>Erste Erfahrung im Kundenservice von Vorteil, aber nicht Bedingung</li>
</ul>
<p>Was Sie erwartet:</p>
<ul>
<li>ausführliche, bezahlte Schulung</li>
<li>Interessante und verantwortungsvolle Tätigkeit in einem freundlichen Team</li>
<li>Flexible Arbeitszeitmodelle</li>
<li>Gute Entwicklungsmöglichkeiten</li>
<li>Möglichkeit der beruflichen Neuorientierung für Quereinsteiger</li>
<li>Moderne Arbeitsplätze und nette Teams, die sich auf Sie freuen!</li>
</ul>
<p>Diese Stelle können Sie von zu Hause ausführen. Sie sollten nicht weiter als 50 km entfernt von Potsdam wohnen. </p>
<p>Wir freuen uns Sie kennenzulernen!  </p>
<p>Find <a href=""https://www.arbeitnow.com/"">Jobs in Germany</a> on Arbeitnow</a>",False,https://www.arbeitnow.com/jobs/companies/workstation-customer-care/abrechnungsservice-gasversorger-homeoffice-potsdam-274452,['Finance'],,Potsdam,2024-04-30 06:49:03
9,abrechnungsservice-abo-zahlungen-tlw-homeoffice-potsdam-251955,Workstation Customer Care,Abrechnungsservice Abo-Zahlungen tlw homeoffice m/w/d,"<p>Ob Musik, Autos, Kleidung oder sogar Rasierer - die Abowirtschaft boomt - denn, sie gibt den Nutzern die Flexibilität, die sie sich wünschen. Eine einfache Registrierung, das perfekte Produkt und eine flexible Bezahlung runden die Angebote ab, die wir heute in vielfältiger Weise nutzen. Damit das auch alles reibungslos funktioniert, gibt es unseren Kunden - und Sie in Ihrer neuen Rolle als Mitarbeiter (m/w/d) im Abrechnungsservice.</p>
<p>Ihr Arbeitstag wird sich um folgende Fragestellungen bzw. Themengebiete drehen:</p>
<ul>
<li>Verlängerung / Kündigung / Pausierung von Abos</li>
<li>Auswahl von Zahlungsmethoden und Rechnungsstellung</li>
<li>Zahlungszuordnung und Vereinbarung von Ratenzahlungen</li>
<li>Beschwerdemanagement</li>
</ul>
<p>Dazu bringen Sie am besten viel Verständnis mit:</p>
<ul>
<li>für die individuellen Bedürfnisse der Kunden</li>
<li>für Zahlen, Daten, Fakten</li>
<li>für den Entscheidungsspielraum, den Ihnen das Unternehmen einräumt</li>
<li>für die Notwendigkeit von professionellem Verhalten</li>
<li>für Regeln und Gesetze </li>
<li>für Herausforderungen und positive Lösungsansätze - unser Auftraggeber lässt niemanden im Regen stehen</li>
</ul>
<p>Wir freuen uns Sie kennenzulernen!  </p>
<p>Find more <a href=""https://www.arbeitnow.com/english-speaking-jobs"">English Speaking Jobs in Germany</a> on Arbeitnow</a>",False,https://www.arbeitnow.com/jobs/companies/workstation-customer-care/abrechnungsservice-abo-zahlungen-tlw-homeoffice-potsdam-251955,['Finance'],,Potsdam,2024-04-30 06:49:03
